id,full_name,last_name,constituencies,groups
256922,Marion MARÉCHAL,MARÉCHAL,"[{""party"": ""Ind\u00e9pendant"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""Ind\u00e9.""}]","[{""role"": ""Member of the Bureau"", ""Organization"": ""European Conservatives and Reformists Group"", ""groupid"": ""ECR"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256883,Aleksandar NIKOLIC,NIKOLIC,"[{""party"": ""Rassemblement national"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""RN""}]","[{""role"": ""Member"", ""Organization"": ""Patriots for Europe Group"", ""groupid"": ""P4E"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256903,Thomas PELLERIN-CARLIN,PELLERIN-CARLIN,"[{""party"": ""Place publique"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""PP""}]","[{""role"": ""Member"", ""Organization"": ""Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"", ""groupid"": ""S&D"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
30123,Guillaume PELTIER,PELTIER,"[{""party"": ""Divers droite"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""DVD""}]","[{""role"": ""Member"", ""Organization"": ""European Conservatives and Reformists Group"", ""groupid"": ""ECR"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
126699,Gilles PENNELLE,PENNELLE,"[{""party"": ""Rassemblement national"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""RN""}]","[{""role"": ""Member"", ""Organization"": ""Patriots for Europe Group"", ""groupid"": ""P4E"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256877,Pascale PIERA,PIERA,"[{""party"": ""Rassemblement national"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""RN""}]","[{""role"": ""Member"", ""Organization"": ""Patriots for Europe Group"", ""groupid"": ""P4E"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256893,Pierre PIMPIE,PIMPIE,"[{""party"": ""Rassemblement national"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""RN""}]","[{""role"": ""Member"", ""Organization"": ""Patriots for Europe Group"", ""groupid"": ""P4E"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256902,Emma RAFOWICZ,RAFOWICZ,"[{""party"": ""Parti socialiste"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""PS""}]","[{""role"": ""Member"", ""Organization"": ""Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"", ""groupid"": ""S&D"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256882,Julie RECHAGNEUX,RECHAGNEUX,"[{""party"": ""Rassemblement national"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""RN""}]","[{""role"": ""Member"", ""Organization"": ""Patriots for Europe Group"", ""groupid"": ""P4E"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256904,Chloé RIDEL,RIDEL,"[{""party"": ""Parti socialiste"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""PS""}]","[{""role"": ""Member"", ""Organization"": ""Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"", ""groupid"": ""S&D"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256911,Arash SAEIDI,SAEIDI,"[{""party"": ""La France Insoumise"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""LFI""}]","[{""role"": ""Member"", ""Organization"": ""The Left group in the European Parliament - GUE/NGL"", ""groupid"": ""GUE/NGL"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""2024-07-17T00:00:00""}, {""role"": ""Treasurer"", ""Organization"": ""The Left group in the European Parliament - GUE/NGL"", ""groupid"": ""GUE/NGL"", ""start"": ""2024-07-18T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
88552,Julien SANCHEZ,SANCHEZ,"[{""party"": ""Rassemblement national"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""RN""}]","[{""role"": ""Member"", ""Organization"": ""Patriots for Europe Group"", ""groupid"": ""P4E"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256905,Eric SARGIACOMO,SARGIACOMO,"[{""party"": ""Parti socialiste"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""PS""}]","[{""role"": ""Member"", ""Organization"": ""Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"", ""groupid"": ""S&D"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256917,Majdouline SBAI,SBAI,"[{""party"": ""Les \u00c9cologistes"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""EELV""}]","[{""role"": ""Member"", ""Organization"": ""Group of the Greens/European Free Alliance"", ""groupid"": ""Verts/ALE"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256910,Anthony SMITH,SMITH,"[{""party"": ""La France Insoumise"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""LFI""}]","[{""role"": ""Member"", ""Organization"": ""The Left group in the European Parliament - GUE/NGL"", ""groupid"": ""GUE/NGL"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256871,Malika SOREL,SOREL,"[{""party"": ""Sans parti"", ""country"": ""France"", ""start"": ""2024-07-17T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""Ind\u00e9.""}]","[{""role"": ""Member"", ""Organization"": ""Patriots for Europe Group"", ""groupid"": ""P4E"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
200345,Pierre-Romain THIONNET,THIONNET,"[{""party"": ""Rassemblement national"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""RN""}]","[{""role"": ""Member"", ""Organization"": ""Patriots for Europe Group"", ""groupid"": ""P4E"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256888,Rody TOLASSY,TOLASSY,"[{""party"": ""Rassemblement national"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""RN""}]","[{""role"": ""Member"", ""Organization"": ""Patriots for Europe Group"", ""groupid"": ""P4E"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256925,Laurence TROCHU,TROCHU,"[{""party"": ""Mouvement conservateur"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""MC""}]","[{""role"": ""Member"", ""Organization"": ""European Conservatives and Reformists Group"", ""groupid"": ""ECR"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256875,Matthieu VALET,VALET,"[{""party"": ""Rassemblement national"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""RN""}]","[{""role"": ""Member"", ""Organization"": ""Patriots for Europe Group"", ""groupid"": ""P4E"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
261796,Séverine WERBROUCK,WERBROUCK,"[{""party"": ""Rassemblement national"", ""country"": ""France"", ""start"": ""2024-09-27T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""RN""}]","[{""role"": ""Member"", ""Organization"": ""Patriots for Europe Group"", ""groupid"": ""P4E"", ""start"": ""2024-09-27T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
261797,Christophe BAY,BAY,"[{""party"": ""Rassemblement national"", ""country"": ""France"", ""start"": ""2024-09-27T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""RN""}]","[{""role"": ""Member"", ""Organization"": ""Patriots for Europe Group"", ""groupid"": ""P4E"", ""start"": ""2024-09-27T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
