reference,date,title,type,subject,status,url
2020/2017(INI),2020-01-16,"L’intelligence artificielle dans les domaines de l’éducation, de la culture et de l’audiovisuel",INI,"[""3.30.01"", ""4.40.01"", ""4.45"", ""3.40.06"", ""3.30.06""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/2017(INI)&l=fr
2020/2041(INI),2020-04-16,Une nouvelle stratégie UE-Afrique – un partenariat pour un développement durable et inclusif,INI,"[""6.30"", ""6.40.07""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/2041(INI)&l=fr
2022/2535(RSP),2022-02-16,Résolution sur l’état de droit et les conséquences de l’arrêt de la Cour de justice de l’Union européenne,RSP,"[""8.30.10""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2022/2535(RSP)&l=fr
2021/2180(INI),2021-10-07,Rapport 2021 de la Commission sur l’état de droit,INI,"[""8.30.10""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2021/2180(INI)&l=fr
2022/0098(NLE),2022-04-04,Accord UE/Nouvelle-Zélande: modification des concessions pour l’ensemble des contingents tarifaires de la liste CLXXV de l’UE à la suite du retrait du Royaume-Uni de l’Union européenne,NLE,"[""6.20.04"", ""Nouvelle-Zélande"", ""Pays"", ""6.20.03""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2022/0098(NLE)&l=fr
2021/0373(CNS),2021-11-25,Droits électoraux des citoyens de l'Union aux élections municipales en cas de mobilité,CNS,"[""1.20.01""]",En attente de décision finale,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2021/0373(CNS)&l=fr
2020/0205(NLE),2020-08-28,Accord concernant la coopération en matière de luttecontre la pollution de la mer du Nord par les hydrocarbures et autres substances dangereuses (accord de Bonn): extension des champs d'application matériel etgéographique dudit accord,NLE,"[""3.70.05"", ""3.70.18""]",En attente de décision finale,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/0205(NLE)&l=fr
2020/2174(DEC),2020-06-29,Décharge 2019 : Autorité bancaire européenne (ABE),DEC,"[""8.70.03.09""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/2174(DEC)&l=fr
2020/2209(INI),2020-10-22,La protection des personnes handicapées en tenant compte des éléments fournis par diverses pétitions: enseignements tirés,INI,"[""4.10.06""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/2209(INI)&l=fr
2016/0062A(NLE),2016-03-04,Convention du Conseil de l’Europe sur la prévention et la lutte contre la violence à l’égard des femmes et la violence domestique,NLE,"[""4.10.09"", ""7.30.30.02""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2016/0062A(NLE)&l=fr
